품목명,품목코드,metric,value,yyyymm,year,month,date,quarter
섬유제품,11000,출하지수201503,106.4,201503,2015,3,2015-03-01,2015Q1
제사 및 방적,11010,출하지수201503,104.1,201503,2015,3,2015-03-01,2015Q1
직물직조,11020,출하지수201503,104.6,201503,2015,3,2015-03-01,2015Q1
섬유염색 및 가공,11030,출하지수201503,111.5,201503,2015,3,2015-03-01,2015Q1
편조원단,11040,출하지수201503,108.6,201503,2015,3,2015-03-01,2015Q1
기타 섬유제품,11090,출하지수201503,107.4,201503,2015,3,2015-03-01,2015Q1
화학물질 및 화학제품,12000,출하지수201503,102.8,201503,2015,3,2015-03-01,2015Q1
석유화학계 기초화학물질,12010,출하지수201503,96.7,201503,2015,3,2015-03-01,2015Q1
기타 기초유기화학물질,12020,출하지수201503,95.5,201503,2015,3,2015-03-01,2015Q1
기타 기초무기화학물질,12030,출하지수201503,98.4,201503,2015,3,2015-03-01,2015Q1
"무기안료, 염료, 유연제 및 기타 착색제",12040,출하지수201503,105.1,201503,2015,3,2015-03-01,2015Q1
합성고무 및 플라스틱 물질,12050,출하지수201503,109.4,201503,2015,3,2015-03-01,2015Q1
농약,12060,출하지수201503,189.7,201503,2015,3,2015-03-01,2015Q1
도료 및 인쇄잉크,12070,출하지수201503,104.7,201503,2015,3,2015-03-01,2015Q1
계면활성제,12080,출하지수201503,105.3,201503,2015,3,2015-03-01,2015Q1
기타 화학제품,12090,출하지수201503,104.3,201503,2015,3,2015-03-01,2015Q1
화학섬유,12100,출하지수201503,107.8,201503,2015,3,2015-03-01,2015Q1
기초의약물질 및 생물학적 제제,12110,출하지수201503,99.5,201503,2015,3,2015-03-01,2015Q1
고무 및 플라스틱제품,13000,출하지수201503,107.0,201503,2015,3,2015-03-01,2015Q1
고무제품,13010,출하지수201503,106.7,201503,2015,3,2015-03-01,2015Q1
플라스틱제품,13020,출하지수201503,107.0,201503,2015,3,2015-03-01,2015Q1
비금속 광물제품,14000,출하지수201503,99.1,201503,2015,3,2015-03-01,2015Q1
판유리,14010,출하지수201503,93.9,201503,2015,3,2015-03-01,2015Q1
산업용 유리제품,14020,출하지수201503,102.9,201503,2015,3,2015-03-01,2015Q1
산업용 도자기,14030,출하지수201503,95.2,201503,2015,3,2015-03-01,2015Q1
내화 요업제품,14040,출하지수201503,102.7,201503,2015,3,2015-03-01,2015Q1
석회,14050,출하지수201503,99.0,201503,2015,3,2015-03-01,2015Q1
기타 비금속광물제품,14090,출하지수201503,87.3,201503,2015,3,2015-03-01,2015Q1
1차 금속제품,15000,출하지수201503,96.6,201503,2015,3,2015-03-01,2015Q1
합금철,15010,출하지수201503,99.3,201503,2015,3,2015-03-01,2015Q1
철강압연.압출 및 연신제품,15020,출하지수201503,93.3,201503,2015,3,2015-03-01,2015Q1
철강관,15030,출하지수201503,109.2,201503,2015,3,2015-03-01,2015Q1
"비철금속 제련, 정련 및 합금",15040,출하지수201503,94.8,201503,2015,3,2015-03-01,2015Q1
"비철금속압연, 압출 및 연신제품",15050,출하지수201503,104.5,201503,2015,3,2015-03-01,2015Q1
기타 1차 비철금속,15060,출하지수201503,104.6,201503,2015,3,2015-03-01,2015Q1
비철금속 주조업,15070,출하지수201503,107.4,201503,2015,3,2015-03-01,2015Q1
"도금, 착색 및 기타 표면처리강재",15090,출하지수201503,95.0,201503,2015,3,2015-03-01,2015Q1
부품,20000,출하지수201503,102.3,201503,2015,3,2015-03-01,2015Q1
금속가공제품,21000,출하지수201503,103.5,201503,2015,3,2015-03-01,2015Q1
"금속탱크, 저장조 및 유사용기",21010,출하지수201503,102.1,201503,2015,3,2015-03-01,2015Q1
핵반응기 및 증기발생기부품,21020,출하지수201503,95.5,201503,2015,3,2015-03-01,2015Q1
무기 및 총포탄 부품,21030,출하지수201503,98.3,201503,2015,3,2015-03-01,2015Q1
"금속 단조, 압형 및 분말야금 제품",21040,출하지수201503,105.4,201503,2015,3,2015-03-01,2015Q1
"금속열처리업, 도금 및 기타 처리업",21050,출하지수201503,101.6,201503,2015,3,2015-03-01,2015Q1
톱 및 호환성공구,21060,출하지수201503,103.8,201503,2015,3,2015-03-01,2015Q1
금속파스너 및 스프링,21070,출하지수201503,107.2,201503,2015,3,2015-03-01,2015Q1
기타 금속제 부품,21090,출하지수201503,102.1,201503,2015,3,2015-03-01,2015Q1
일반기계부품,22000,출하지수201503,107.6,201503,2015,3,2015-03-01,2015Q1
내연기관 및 터빈,22010,출하지수201503,113.6,201503,2015,3,2015-03-01,2015Q1
유압기기,22020,출하지수201503,107.2,201503,2015,3,2015-03-01,2015Q1
펌프 및 압축기 제조업,22030,출하지수201503,99.7,201503,2015,3,2015-03-01,2015Q1
